epoch,deconv1_v1_loss,deconv1_v2_loss,deconv1_v3_loss,loss,val_deconv1_v1_loss,val_deconv1_v2_loss,val_deconv1_v3_loss,val_loss
0,0.111225925385952,0.08385303616523743,0.0894227996468544,0.28450173139572144,NA,NA,NA,NA
1,0.05702630430459976,0.03713542968034744,0.04172854498028755,0.13589030504226685,NA,NA,NA,NA
2,0.03512325510382652,0.0270539578050375,0.02891925349831581,0.09109647572040558,NA,NA,NA,NA
3,0.026866326108574867,0.023685529828071594,0.023995963856577873,0.07454783469438553,NA,NA,NA,NA
4,0.023408789187669754,0.020159251987934113,0.021163612604141235,0.0647316500544548,NA,NA,NA,NA
5,0.02112104371190071,0.01827230118215084,0.019135143607854843,0.05852850526571274,NA,NA,NA,NA
6,0.01954856514930725,0.01864626631140709,0.017951682209968567,0.0561465285718441,NA,NA,NA,NA
7,0.018381476402282715,0.015920491889119148,0.016593873500823975,0.05089583992958069,NA,NA,NA,NA
8,0.017707092687487602,0.014909138903021812,0.016466913744807243,0.04908314719796181,NA,NA,NA,NA
9,0.016530217602849007,0.014154577627778053,0.014851219020783901,0.04553602635860443,NA,NA,NA,NA
10,0.015902478247880936,0.013598524034023285,0.014216865412890911,0.04371785745024681,NA,NA,NA,NA
11,0.015340742655098438,0.012890670448541641,0.013714468106627464,0.041945889592170715,NA,NA,NA,NA
12,0.014844540506601334,0.012687984853982925,0.013305467553436756,0.04083799198269844,NA,NA,NA,NA
13,0.014367005787789822,0.012026374228298664,0.012911088764667511,0.039304468780756,NA,NA,NA,NA
14,0.01376754604279995,0.011477234773337841,0.012408771552145481,0.03765355795621872,NA,NA,NA,NA
15,0.013376840390264988,0.011370539665222168,0.01195394154638052,0.036701325327157974,NA,NA,NA,NA
16,0.012997000478208065,0.010857940651476383,0.01165836676955223,0.03551330789923668,NA,NA,NA,NA
17,0.012914801016449928,0.010591930709779263,0.011504087597131729,0.03501081094145775,NA,NA,NA,NA
18,0.012415352277457714,0.010470920242369175,0.011090828105807304,0.03397710621356964,NA,NA,NA,NA
19,0.012092087417840958,0.010021422989666462,0.010824847966432571,0.03293836489319801,NA,NA,NA,NA
20,0.011702596209943295,0.009752756915986538,0.010541996918618679,0.031997352838516235,NA,NA,NA,NA
21,0.011458403430879116,0.022678198292851448,0.01030635368078947,0.04444296658039093,NA,NA,NA,NA
22,0.011332784779369831,0.011379589326679707,0.010348842479288578,0.03306121379137039,NA,NA,NA,NA
23,0.010972785763442516,0.009852861985564232,0.009890357032418251,0.030716005712747574,NA,NA,NA,NA
24,0.010799707844853401,0.009429045021533966,0.009747977368533611,0.029976736754179,NA,NA,NA,NA
25,0.010580463334918022,0.009136563166975975,0.009629933163523674,0.029346957802772522,NA,NA,NA,NA
26,0.010409456677734852,0.008957237005233765,0.009328266605734825,0.028694961220026016,NA,NA,NA,NA
27,0.010164102539420128,0.0087648406624794,0.009197112172842026,0.028126049786806107,NA,NA,NA,NA
28,0.010019194334745407,0.008602273650467396,0.009122074581682682,0.027743542566895485,NA,NA,NA,NA
