epoch,loss,v1_decoder_0_loss,v2_decoder_0_loss,v3_decoder_0_loss,v4_decoder_0_loss,v5_decoder_0_loss,v6_decoder_0_loss,val_loss,val_v1_decoder_0_loss,val_v2_decoder_0_loss,val_v3_decoder_0_loss,val_v4_decoder_0_loss,val_v5_decoder_0_loss,val_v6_decoder_0_loss
0,0.6219527125358582,0.042820557951927185,0.11105088144540787,0.07436881959438324,0.2107565701007843,0.0546560101211071,0.12829987704753876,NA,NA,NA,NA,NA,NA,NA
1,0.3158125877380371,0.02318798378109932,0.0333675742149353,0.06080342084169388,0.12958335876464844,0.021165525540709496,0.04770471155643463,NA,NA,NA,NA,NA,NA,NA
2,0.17034614086151123,0.00934127438813448,0.03115069679915905,0.021994249895215034,0.06631670892238617,0.018628211691975594,0.02291499450802803,NA,NA,NA,NA,NA,NA,NA
3,0.14934822916984558,0.007144302129745483,0.030176375061273575,0.01372709684073925,0.06141700968146324,0.01793406531214714,0.018949367105960846,NA,NA,NA,NA,NA,NA,NA
4,0.14170679450035095,0.00648252060636878,0.029219595715403557,0.011918037198483944,0.05917220935225487,0.01766303926706314,0.01725137047469616,NA,NA,NA,NA,NA,NA,NA
5,0.13387301564216614,0.006056059151887894,0.02351464331150055,0.011085251346230507,0.05871725454926491,0.017576206475496292,0.016923610121011734,NA,NA,NA,NA,NA,NA,NA
6,0.12697440385818481,0.005920873023569584,0.017411421984434128,0.01083618588745594,0.058527931571006775,0.017496077343821526,0.016781920567154884,NA,NA,NA,NA,NA,NA,NA
7,0.12556606531143188,0.00584112573415041,0.01632733829319477,0.010729921981692314,0.05846497043967247,0.017472710460424423,0.016729984432458878,NA,NA,NA,NA,NA,NA,NA
8,0.12466402351856232,0.0057923635467886925,0.015602599829435349,0.010683439671993256,0.05843959003686905,0.0174477007240057,0.0166983250528574,NA,NA,NA,NA,NA,NA,NA
9,0.12412509322166443,0.0057521359995007515,0.015225411392748356,0.010645187459886074,0.05841008946299553,0.017416590824723244,0.016675680875778198,NA,NA,NA,NA,NA,NA,NA
10,0.12323994189500809,0.005718020722270012,0.014407270587980747,0.010614984668791294,0.05843106284737587,0.017405904829502106,0.016662701964378357,NA,NA,NA,NA,NA,NA,NA
11,0.12096225470304489,0.0056726038455963135,0.012273685075342655,0.010572865605354309,0.05840279906988144,0.017388872802257538,0.01665143296122551,NA,NA,NA,NA,NA,NA,NA
12,0.11936000734567642,0.005565534345805645,0.010941222310066223,0.01050316821783781,0.05836763605475426,0.017348021268844604,0.016634412109851837,NA,NA,NA,NA,NA,NA,NA
13,0.11821356415748596,0.0052277687937021255,0.010274726897478104,0.01040362473577261,0.058370571583509445,0.01730598509311676,0.01663088984787464,NA,NA,NA,NA,NA,NA,NA
14,0.11598735302686691,0.0043329340405762196,0.009769315831363201,0.010146810673177242,0.058343593031167984,0.016783861443400383,0.01661083847284317,NA,NA,NA,NA,NA,NA,NA
15,0.11391694098711014,0.0038199727423489094,0.009383785538375378,0.009735170751810074,0.058320268988609314,0.016060594469308853,0.016597149893641472,NA,NA,NA,NA,NA,NA,NA
16,0.11209586262702942,0.0034281255211681128,0.009240924380719662,0.009157642722129822,0.05829242244362831,0.015392651781439781,0.01658409647643566,NA,NA,NA,NA,NA,NA,NA
17,0.11023227870464325,0.0030567217618227005,0.0088488245382905,0.008667171001434326,0.05824747309088707,0.014844372868537903,0.016567716374993324,NA,NA,NA,NA,NA,NA,NA
18,0.10874932259321213,0.0026139465626329184,0.008616134524345398,0.00846298597753048,0.05795600265264511,0.014553124085068703,0.01654714159667492,NA,NA,NA,NA,NA,NA,NA
19,0.1049407571554184,0.002122559119015932,0.008634327910840511,0.008272328414022923,0.05499763786792755,0.014410600997507572,0.016503289341926575,NA,NA,NA,NA,NA,NA,NA
20,0.09935171157121658,0.0017625379841774702,0.008683223277330399,0.008154459297657013,0.05002868175506592,0.014295843429863453,0.01642695814371109,NA,NA,NA,NA,NA,NA,NA
21,0.09828254580497742,0.0015349090099334717,0.009147620759904385,0.008090198040008545,0.04981313645839691,0.014170784503221512,0.015525899827480316,NA,NA,NA,NA,NA,NA,NA
22,0.09436493366956711,0.001435407204553485,0.0073824054561555386,0.008023460395634174,0.04928043112158775,0.013918004930019379,0.014325223863124847,NA,NA,NA,NA,NA,NA,NA
23,0.09281950443983078,0.0013828627998009324,0.006802012212574482,0.007969768717885017,0.048987433314323425,0.01365329883992672,0.014024116098880768,NA,NA,NA,NA,NA,NA,NA
24,0.09149786829948425,0.0013181347167119384,0.006438370328396559,0.00790376216173172,0.04866176098585129,0.013501942157745361,0.013673894107341766,NA,NA,NA,NA,NA,NA,NA
25,0.09082071483135223,0.0012861434370279312,0.006656461860984564,0.007805951405316591,0.048383306711912155,0.0133762676268816,0.01331258099526167,NA,NA,NA,NA,NA,NA,NA
26,0.08941657096147537,0.0012669687857851386,0.00601936923339963,0.007674235384911299,0.04808032140135765,0.013277551159262657,0.013098124414682388,NA,NA,NA,NA,NA,NA,NA
27,0.08815710246562958,0.001220922451466322,0.005404265597462654,0.007536237593740225,0.04763907939195633,0.013498438522219658,0.012858153320848942,NA,NA,NA,NA,NA,NA,NA
28,0.08625993132591248,0.0011546610621735454,0.005003334488719702,0.007337890099734068,0.04720357060432434,0.012856023386120796,0.012704447843134403,NA,NA,NA,NA,NA,NA,NA
29,0.08524512499570847,0.0011189683573320508,0.004829429090023041,0.007199959829449654,0.04711917042732239,0.012326469644904137,0.012651127763092518,NA,NA,NA,NA,NA,NA,NA
30,0.08423803001642227,0.001081641879864037,0.0046406458131968975,0.007077692076563835,0.046824514865875244,0.011972124688327312,0.012641411274671555,NA,NA,NA,NA,NA,NA,NA
31,0.08466701954603195,0.0010671752970665693,0.00572638725861907,0.006972173228859901,0.04668571799993515,0.011615716852247715,0.012599842622876167,NA,NA,NA,NA,NA,NA,NA
32,0.08390060812234879,0.0010336843552067876,0.005677416920661926,0.006914612837135792,0.04633296653628349,0.011393776163458824,0.012548133730888367,NA,NA,NA,NA,NA,NA,NA
33,0.08233563601970673,0.0010336479172110558,0.004634540062397718,0.00687923189252615,0.04603990539908409,0.011244593188166618,0.012503718957304955,NA,NA,NA,NA,NA,NA,NA
34,0.08120598644018173,0.0010467662941664457,0.004137805197387934,0.006844517309218645,0.045594654977321625,0.011072728782892227,0.012509504333138466,NA,NA,NA,NA,NA,NA,NA
35,0.07992251217365265,0.0009594617295078933,0.003879436058923602,0.006859498098492622,0.044925346970558167,0.010839911177754402,0.012458854354918003,NA,NA,NA,NA,NA,NA,NA
36,0.07905982434749603,0.0009070865926332772,0.0038664292078465223,0.006775190122425556,0.04443025961518288,0.01063015591353178,0.012450702488422394,NA,NA,NA,NA,NA,NA,NA
37,0.07863803952932358,0.0008917436352930963,0.004078039899468422,0.006728357635438442,0.04392309486865997,0.010594195686280727,0.012422608211636543,NA,NA,NA,NA,NA,NA,NA
38,0.07737622410058975,0.0008587475749664009,0.0035310210660099983,0.006701406091451645,0.043392542749643326,0.010481606237590313,0.012410894967615604,NA,NA,NA,NA,NA,NA,NA
39,0.07636384665966034,0.0008168519125320017,0.0033362836111336946,0.006653682794421911,0.04293186217546463,0.010194945149123669,0.012430214323103428,NA,NA,NA,NA,NA,NA,NA
40,0.07563338428735733,0.0007772366516292095,0.003207118483260274,0.006641226354986429,0.04264694079756737,0.009950468316674232,0.012410392053425312,NA,NA,NA,NA,NA,NA,NA
41,0.07544637471437454,0.0007601718534715474,0.0035022394731640816,0.006572422571480274,0.04243456572294235,0.009791349060833454,0.012385625392198563,NA,NA,NA,NA,NA,NA,NA
