iter,nmi,vmea,ari,loss
0,0.25198,0.25198,0.21652,0.0
0,0.39532,0.39532,0.22926,0.0
1000,0.40676,0.40676,0.27115,0.0004851119357335847
1000,0.41229,0.41229,0.28082,0.002046077662380412
2000,0.43779,0.43779,0.34069,0.0005062661245465278
2000,0.4279,0.4279,0.33786,0.0018227030007401481
3000,0.41649,0.41649,0.34374,0.0005015450138016604
3000,0.42277,0.42277,0.34325,0.0023144859034509866
