epoch,deconv1_v1_loss,deconv1_v2_loss,loss,val_deconv1_v1_loss,val_deconv1_v2_loss,val_loss
0,0.08608657866716385,0.05638823285698891,0.14247481524944305,NA,NA,NA
1,0.06544183194637299,0.040115006268024445,0.10555683821439743,NA,NA,NA
2,0.06324703246355057,0.03518394008278847,0.09843096137046814,NA,NA,NA
3,0.05949125811457634,0.030017437413334846,0.08950870484113693,NA,NA,NA
4,0.05024829879403114,0.026454094797372818,0.07670240104198456,NA,NA,NA
5,0.04082997888326645,0.022286543622612953,0.06311651319265366,NA,NA,NA
6,0.0342937707901001,0.019300933927297592,0.05359470844268799,NA,NA,NA
7,0.030202511698007584,0.01734551601111889,0.047548018395900726,NA,NA,NA
8,0.027373410761356354,0.01575418747961521,0.043127600103616714,NA,NA,NA
9,0.02532559260725975,0.014682055450975895,0.04000764712691307,NA,NA,NA
10,0.023721158504486084,0.013863609172403812,0.03758477419614792,NA,NA,NA
11,0.02254575304687023,0.01316541712731123,0.03571116551756859,NA,NA,NA
12,0.02155991829931736,0.01270915288478136,0.034269072115421295,NA,NA,NA
13,0.020763536915183067,0.012175056152045727,0.03293859586119652,NA,NA,NA
14,0.020062396302819252,0.011776969768106937,0.031839363276958466,NA,NA,NA
15,0.019408633932471275,0.011418374255299568,0.030827011913061142,NA,NA,NA
16,0.01887045055627823,0.01106763631105423,0.02993808686733246,NA,NA,NA
17,0.018507441505789757,0.010748018510639668,0.029255462810397148,NA,NA,NA
18,0.018078535795211792,0.010507820174098015,0.028586355969309807,NA,NA,NA
19,0.017695914953947067,0.01033746637403965,0.028033383190631866,NA,NA,NA
20,0.01735948957502842,0.0100944759324193,0.027453970164060593,NA,NA,NA
21,0.01709364540874958,0.009861615486443043,0.026955263689160347,NA,NA,NA
22,0.01671556942164898,0.009640691801905632,0.02635626308619976,NA,NA,NA
23,0.016531547531485558,0.009456928819417953,0.02598847635090351,NA,NA,NA
24,0.0163380466401577,0.009320637211203575,0.025658685714006424,NA,NA,NA
25,0.016060253605246544,0.009173017926514149,0.025233274325728416,NA,NA,NA
26,0.015919853001832962,0.009029421955347061,0.024949276819825172,NA,NA,NA
27,0.0156695619225502,0.008872130885720253,0.024541692808270454,NA,NA,NA
28,0.015558084473013878,0.008762243203818798,0.02432032860815525,NA,NA,NA
29,0.01538644079118967,0.008611145429313183,0.023997584357857704,NA,NA,NA
30,0.015234483405947685,0.008489585481584072,0.023724069818854332,NA,NA,NA
31,0.015035342425107956,0.008428200148046017,0.023463545367121696,NA,NA,NA
